Title,DOI,Relevant_methods,Relevant_simulation,Review_paper,Notes
Familial Confounding of the Association Between Maternal Smoking During Pregnancy and Offspring Substance Use and Problems,10.1001/archgenpsychiatry.2011.2107,0,0,0,
Assessing seasonal confounding and model selection bias in air pollution epidemiology using positive and negative control analyses,10.1002/1099-095X(200011/12)11:6<705::AID-ENV444>3.0.CO;2-H,1,1,0,Table 1
Confounding factors in determining causal soil moisture-precipitation feedback,10.1002/2016WR019869,0,0,0,
Concerns Regarding P Value-Based Variable Selection of Exposure Variables and Confounding Factors: Comment on the Article by Hawker et al,10.1002/art.41771,0,0,0,
Risk factor adjustment in marginal structural model estimation of optimal treatment regimes,10.1002/bimj.200800182,1,1,0,"Table 1, Table 2"
Correction of confounding bias in non-randomized studies by appropriate weighting,10.1002/bimj.201000154,1,0,0,
Inverse-probability-of-treatment weighted estimation of causal parameters in the presence of error-contaminated and time-dependent confounders,10.1002/bimj.201600228,1,1,0,"Table 1, measurement error"
Covariate selection strategies for causal inference: Classification and comparison,10.1002/bimj.201700294,1,1,1,
Propensity score methods for time-dependent cluster confounding,10.1002/bimj.201900277,1,1,0,
A comparison of full model specification and backward elimination of potential confounders when estimating marginal and conditional causal effects on binary outcomes from observational data,10.1002/bimj.202100237,1,1,0,
Causal relationship and confounding in statistical models,10.1002/bjs.10241,0,0,0,theory
Assessing spatial confounding in cancer disease mapping using R,10.1002/cnr2.1263,,,,
Season-dependent impact of forage quality on stress in alpine chamois,10.1002/ece3.10045,,,,
Annual variation in breeding success in boreal forest grouse: Four decades of monitoring reveals bottom-up drivers to be more important than predation,10.1002/ece3.9327,,,,
Model selection in occupancy models: Inference versus prediction,10.1002/ecy.3942,,,,
Mitigating spatial confounding by explicitly correlating Gaussian random fields,10.1002/env.2727,,,,
Confounded by Sequencing Depth in Association Studies of Rare Alleles,10.1002/gepi.20574,,,,
Summary statistic analyses can mistake confounding bias for heritability,10.1002/gepi.22259,,,,
Intermediate confounding in trio relationships: The importance of complete data in effect size estimation,10.1002/gepi.22294,,,,
An enhanced machine learning tool for<i>cis</i>-eQTL mapping with regularization and confounder adjustments,10.1002/gepi.22341,,,,
Causation and familial confounding as explanations for the associations of polygenic risk scores with breast cancer: Evidence from innovative ICE FALCON and ICE CRISTAL analyses,10.1002/gepi.22556,,,,
Stochastic dynamic causal modeling of working memory connections in cocaine dependence,10.1002/hbm.22212,,,,
Observing cognitive processes in time through functional MRI model comparison,10.1002/hbm.26114,,,,
Applying nonexperimental study approach to analyze historical batch data,10.1002/jps.23066,,,,
The role of the c-statistic in variable selection for propensity score models,10.1002/pds.2074,,,,
Measuring balance and model selection in propensity score methods,10.1002/pds.2188,,,,
Using high-dimensional propensity scores to automate confounding control in a distributed medical product safety surveillance system,10.1002/pds.2328,,,,
Variable selection for propensity score models when estimating treatment effects on multiple outcomes: a simulation study,10.1002/pds.3356,,,,
A review of covariate selection for non-experimental comparative effectiveness research,10.1002/pds.3506,,,,
