Title,DOI,Author,Relevant_methods,Relevant_simulation,Review_paper,Emma_Notes,Kate_Notes,Jonathan_Notes,Rhian_Notes,Paul_Notes
Familial Confounding of the Association Between Maternal Smoking During Pregnancy and Offspring Substance Use and Problems,https://doi.org/10.1001/archgenpsychiatry.2011.2107,"D'Onofrio, BM; Rickert, ME; Langström, N; Donahue, KL; Coyne, CA; Larsson, H; Ellingson, JM; Van Hulle, CA; Iliadou, AN; Rathouz, PJ; Lahey, BB; Lichtenstein, P",0,0,0,,,,,
Assessing seasonal confounding and model selection bias in air pollution epidemiology using positive and negative control analyses,https://doi.org/10.1002/1099-095X(200011/12)11:6<705::AID-ENV444>3.0.CO;2-H,"Lumley, T; Sheppard, L",1,1,0,Table 1,,,,
Confounding factors in determining causal soil moisture-precipitation feedback,https://doi.org/10.1002/2016WR019869,"Tuttle, SE; Salvucci, GD",0,0,0,,,,,
Concerns Regarding P Value-Based Variable Selection of Exposure Variables and Confounding Factors: Comment on the Article by Hawker et al,https://doi.org/10.1002/art.41771,"Ogawa T, Yamada Y, Momosaki R, Katayanagi J, Yoshioka T.",0,0,0,,,,,
Risk factor adjustment in marginal structural model estimation of optimal treatment regimes,https://doi.org/10.1002/bimj.200800182,Moodie EE.,1,1,0,"Table 1, Table 2",,,,
Correction of confounding bias in non-randomized studies by appropriate weighting,https://doi.org/10.1002/bimj.201000154,"Schmoor, C; Gall, C; Stampf, S; Graf, E",1,0,0,,,,,
Inverse-probability-of-treatment weighted estimation of causal parameters in the presence of error-contaminated and time-dependent confounders,https://doi.org/10.1002/bimj.201600228,"Shu, D; Yi, GY",1,1,0,"Table 1, measurement error",,,,
Covariate selection strategies for causal inference: Classification and comparison,https://doi.org/10.1002/bimj.201700294,"Witte J, Didelez V.",1,1,1,,,,,
Propensity score methods for time-dependent cluster confounding,https://doi.org/10.1002/bimj.201900277,"Cafri, G; Austin, PC",1,1,0,,,,,
A comparison of full model specification and backward elimination of potential confounders when estimating marginal and conditional causal effects on binary outcomes from observational data,https://doi.org/10.1002/bimj.202100237,"Luijken, K; Groenwold, RHH; van Smeden, M; Strohmaier, S; Heinze, G",1,1,0,,,,,
Causal relationship and confounding in statistical models,https://doi.org/10.1002/bjs.10241,"Ranstam, J; Cook, JA",0,0,0,theory,,,,
