PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"21996075","Logistic regression: a brief primer","Stoltzfus JC.","Acad Emerg Med. 2011 Oct;18(10):1099-104. doi: 10.1111/j.1553-2712.2011.01185.x.","Stoltzfus JC","Acad Emerg Med","2011","2011/10/15","","","10.1111/j.1553-2712.2011.01185.x"
"37184181","Methods for Variable Selection and Treatment Effect Estimation in Nonrandomized Studies with Few Outcome Events and Many Confounders","Franklin JM, Eddings W, Gopalakrishnan C, Glynn RJ, Austin PC, Stuart EA, Schneeweiss S.","Washington (DC): Patient-Centered Outcomes Research Institute (PCORI); 2018 Mar.","Franklin JM","Methods for Variable Selection and Treatment Effect Estimation in Nonrandomized Studies with Few Outcome Events and Many Confounders","2018","2018/03/01","","","10.25302/3.2018.ME.13035796"
"25785886","Statistical foundations for model-based adjustments","Greenland S, Pearce N.","Annu Rev Public Health. 2015 Mar 18;36:89-108. doi: 10.1146/annurev-publhealth-031914-122559.","Greenland S","Annu Rev Public Health","2015","2015/03/19","","","10.1146/annurev-publhealth-031914-122559"
"31939336","Variable selection and estimation in causal inference using Bayesian spike and slab priors","Koch B, Vock DM, Wolfson J, Vock LB.","Stat Methods Med Res. 2020 Sep;29(9):2445-2469. doi: 10.1177/0962280219898497. Epub 2020 Jan 15.","Koch B","Stat Methods Med Res","2020","2020/01/16","PMC10013449","NIHMS1871768","10.1177/0962280219898497"
"34229628","Feature selection and causal analysis for microbiome studies in the presence of confounding using standardization","Goren E, Wang C, He Z, Sheflin AM, Chiniquy D, Prenni JE, Tringe S, Schachtman DP, Liu P.","BMC Bioinformatics. 2021 Jul 6;22(1):362. doi: 10.1186/s12859-021-04232-2.","Goren E","BMC Bioinformatics","2021","2021/07/07","PMC8261956","","10.1186/s12859-021-04232-2"
"36833877","Causal Model Building in the Context of Cardiac Rehabilitation: A Systematic Review","Akbari N, Heinze G, Rauch G, Sander B, Becher H, Dunkler D.","Int J Environ Res Public Health. 2023 Feb 11;20(4):3182. doi: 10.3390/ijerph20043182.","Akbari N","Int J Environ Res Public Health","2023","2023/02/25","PMC9968189","","10.3390/ijerph20043182"
"36328854","Using Causal Diagrams for Biomedical Research","Kyriacou DN, Greenland P, Mansournia MA.","Ann Emerg Med. 2023 May;81(5):606-613. doi: 10.1016/j.annemergmed.2022.08.014. Epub 2022 Nov 1.","Kyriacou DN","Ann Emerg Med","2023","2022/11/03","","","10.1016/j.annemergmed.2022.08.014"
"34953160","A comparison of confounder selection and adjustment methods for estimating causal effects using large healthcare databases","Benasseur I, Talbot D, Durand M, Holbrook A, Matteau A, Potter BJ, Renoux C, Schnitzer ME, Tarride JÉ, Guertin JR.","Pharmacoepidemiol Drug Saf. 2022 Apr;31(4):424-433. doi: 10.1002/pds.5403. Epub 2022 Jan 7.","Benasseur I","Pharmacoepidemiol Drug Saf","2022","2021/12/25","PMC9304306","","10.1002/pds.5403"
"36477749","Model selection in occupancy models: Inference versus prediction","Stewart PS, Stephens PA, Hill RA, Whittingham MJ, Dawson W.","Ecology. 2023 Mar;104(3):e3942. doi: 10.1002/ecy.3942. Epub 2023 Jan 18.","Stewart PS","Ecology","2023","2022/12/08","","","10.1002/ecy.3942"
"37652405","A Bayesian multistage spatio-temporally dependent model for spatial clustering and variable selection","Ma S, Yu K, Tang ML, Pan J, Härdle WK, Tian M.","Stat Med. 2023 Nov 20;42(26):4794-4823. doi: 10.1002/sim.9889. Epub 2023 Aug 31.","Ma S","Stat Med","2023","2023/08/31","","","10.1002/sim.9889"
