"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"X7YG6MMN","computerProgram","2023","Tarmey, Emma","ICCA Vasospasm Predictive Model","","","","","","","2023-09","2023-09-25 16:07:33","2023-09-25 16:07:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.0.0","","","","","","","",""
"PXV8YZTC","journalArticle","2016","Findlay, J. Max; Nisar, Joshua; Darsaut, Tim","Cerebral Vasospasm: A Review","Canadian Journal of Neurological Sciences","","","https://doi.org/10.1017/cjn.2015.288","","","2016","2023-09-25 16:07:33","2023-09-25 16:07:33","","15–32","","","43","","","","","","","","","","","","","","","","","Publisher: Cambridge University Press","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZKY5QFJT","journalArticle","2016","Francoeur, C.L.; Mayer, S.A.","Management of delayed cerebral ischemia after subarachnoid hemorrhage","Critical Care","","","https://doi.org/10.1186/s13054-016-1447-6","","","2016","2023-09-25 16:07:33","2023-09-25 16:07:33","","","","277","20","","","","","","","","","","","","","","","","","Publisher: Springer","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BAIKJH6H","journalArticle","1996","Teunissen, Laurien L.; Rinkel, Gabriel J. E.; Ale Algra; Gijn, J. van","Risk Factors for Subarachnoid Hemorrhage: A Systematic Review","Stroke","","","https://doi.org/10.1161/01.STR.27.3.544","","","1996","2023-09-25 16:07:33","2023-09-25 16:07:33","","544-549","","","27","","","","","","","","","","","","","","","","","Publisher: American Heart Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9HSQ4CRZ","journalArticle","2017","Lawton, Michael T.; Vates, G. Edward","Subarachnoid Hemorrhage","N Engl J Med","","","https://doi.org/10.1056/NEJMcp1605827","","","2017","2023-09-25 16:07:33","2023-09-25 16:07:33","","257-266","","","377","","","","","","","","","","","","","","","","","Publisher: Massachusetts Medical Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VBIZQBJX","journalArticle","2019","Psychogios, Klearchos; Tsivgoulis, Georgios","Subarachnoid Hemorrhage, Vasospasm, and Delayed Cerebral Ischemia","","","","","","","2019","2023-09-25 16:07:33","2023-09-25 16:07:33","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IVSEKHCV","journalArticle","2019","McWilliams, Christopher J.; Lawson, Daniel J.; Santos-Rodriguez, Raul; Gilchrist, Iain D.; Champneys, Alan; Gould, Timothy H.; Thomas, Mathew JC; Bourdeaux, Christopher P.","Towards a decision support tool for intensive care discharge: machine learning algorithm development using electronic healthcare data from MIMIC-III and Bristol, UK","BMJ Open","","2044-6055","https://doi.org/10.1136/bmjopen-2018-025925","https://bmjopen.bmj.com/content/9/3/e025925","","2019","2023-09-25 16:07:33","2023-09-25 16:07:33","","","","3","9","","","","","","","","","","","","","","","","","Publisher: British Medical Journal Publishing Group _eprint: https://bmjopen.bmj.com/content/9/3/e025925.full.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4SUX52G9","journalArticle","2001","Breiman, Leo","Random Forests","University of California","","","","","","2001","2023-09-25 16:07:55","2023-10-24 12:57:06","","","","","","","","","","","","","","","","","","","","","","Publisher: University of California, Berkeley CA, 94720","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J6ZWB7BW","journalArticle","2010","Chipman, Hugh A.; George, Edward I.; McCulloch, Robert E.","BART: Bayesian Additive Regression Trees","The Annals of Applied Statistics","","","http://dx.doi.org/10.1214/09-AOAS285","","","2010","2023-09-25 16:07:55","2023-10-24 12:56:58","","266–298","","1","4","","","","","","","","","","","","","","","","","Publisher: Institute of Mathematical Statistics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2FIG3C85","journalArticle","2012","Colombo, Diego; Maathuis, Marloes H.; Kalisch, Markus; Richardson, Thmoas S.","Learning High-Dimensional Directed Acyclic Graphs with Latent and Selection Variables","The Annals of Statistics","","","http://dx.doi.org/10.1214/11-AOS940","","","2012","2023-09-25 16:07:55","2023-10-24 12:57:03","","294–321","","1","40","","","","","","","","","","","","","","","","","Publisher: Institute of Mathematical Sciences","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HPQWX8M6","journalArticle","2011","Hill, Jennifer L.","Bayesian Nonparametric Modeling for Causal Inference","Journal of Computational and Graphical Statistics","","","http://dx.doi.org/10.1198/jcgs.2010.08162","","","2011","2023-09-25 16:07:55","2023-10-24 12:56:58","","217–240","","1","20","","","","","","","","","","","","","","","","","Publisher: American Statistical Association, Institute of Mathematical Statistics, and Interface Foundation of North America","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MGRE9G2U","journalArticle","2015","Abrevaya, Jason; Hsu, Yu-Chin; Lieli, Robert P.","Estimating Conditional Average Treatment Effects","Journal of Business and Economic Statistics","","","https://doi.org/10.1080/07350015.2014.975555","","","2015","2023-09-25 16:07:55","2023-10-24 12:57:01","","485–505","","4","33","","","","","","","","","","","","","","","","","Publisher: American Statistical Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8AGLMF7T","journalArticle","2018","Malec, Scott","Using the Literature to Identify Confounders","UT SBMI Dissertations (Open Access)","","","","","","2018","2023-09-25 16:07:55","2023-10-24 12:57:10","","","","","41","","","","","","","","","","","","","","","","","Publisher: University of Texas Health Science Center","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GHA69RDN","journalArticle","2018","Wager, Stefan; Athey, Susan","Estimation and Inference of Heterogeneous Treatment Effects using Random Forests","Journal of the American Statistical Association","","","https://doi.org/10.1080/01621459.2017.1319839","","","2018","2023-09-25 16:07:55","2023-10-24 12:57:02","","1228-1242","","523","113","","","","","","","","","","","","","","","","","Publisher: American Statistical Association","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KGFIP6XU","journalArticle","2018","Hong, Liang; Luo, Mengqi; Wang, Ruixue; Lu, Peixin; Lu, Wei; Lu, Long","Big Data in Health Care: Applications and Challemges","Data and Information Management Open Access","","","https://doi.org/10.2478/dim-2018-0014","","","2018","2023-09-25 16:07:55","2023-10-24 12:57:00","","","","","","","","","","","","","","","","","","","","","","Publisher: Sciendo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PDKACGEU","journalArticle","2021","Williamson, Brian D.; Gilbert, Peter B.; Carone, Marco; Simon, Noah","Nonparametric variable importance assessment using machine learning techniques","Biometrics","","","https://doi.org/10.1111/biom.13392","","","2021","2023-09-25 16:07:55","2023-10-24 12:57:05","","9–22","","","77","","","","","","","","","","","","","","","","","Publisher: The International Biometric Society","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UHTV47HP","journalArticle","2019","Glymour, Clark; Zhang, Kun; Spirtes, Peter","Review of Causal Discovery Methods Based on Graphical Models","Statistical Genetics and Methodology","","","https://doi.org/10.3389/fgene.2019.00524","","","2019","2023-09-25 16:07:55","2023-10-24 12:57:07","","","","524","10","","","","","","","","","","","","","","","","","Publisher: Frontiers in Genetics","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZ3XT7AL","journalArticle","2019","Kunzel, Soren R.; Sekhon, Jasjeet S.; Bickel, Peter J.; Yu, Bin","Metalearners for estimating heterogeneous treatment effects using machine learning","Proceedings of the National Academy of Sciences of the United States of America","","","https://doi.org/10.1073/pnas.1804597116","","","2019","2023-09-25 16:07:55","2023-10-24 12:57:04","","4156–4165","","10","116","","","","","","","","","","","","","","","","","Publisher: PNAS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
